Timestamp	workload	stress	Marker
3.4959e+03	2.0527e+00	1.1751e+00	0.0000e+00	0.0000e+00
3.4960e+03	2.0528e+00	1.1749e+00	0.0000e+00	0.0000e+00
3.4961e+03	2.0518e+00	1.1747e+00	0.0000e+00	0.0000e+00
3.4962e+03	2.0514e+00	1.1745e+00	0.0000e+00	0.0000e+00
3.4963e+03	2.0517e+00	1.1744e+00	0.0000e+00	0.0000e+00
3.4964e+03	2.0514e+00	1.1744e+00	0.0000e+00	0.0000e+00
3.4965e+03	2.0511e+00	1.1743e+00	0.0000e+00	0.0000e+00
3.4966e+03	2.0508e+00	1.1744e+00	0.0000e+00	0.0000e+00
3.4967e+03	2.0502e+00	1.1745e+00	0.0000e+00	0.0000e+00
3.4968e+03	2.0496e+00	1.1746e+00	0.0000e+00	0.0000e+00
3.4969e+03	2.0490e+00	1.1743e+00	0.0000e+00	0.0000e+00
3.4970e+03	2.0485e+00	1.1740e+00	0.0000e+00	0.0000e+00
3.4971e+03	2.0493e+00	1.1740e+00	0.0000e+00	0.0000e+00
3.4972e+03	2.0492e+00	1.1736e+00	0.0000e+00	0.0000e+00
3.4973e+03	2.0487e+00	1.1732e+00	0.0000e+00	0.0000e+00
3.4974e+03	2.0478e+00	1.1728e+00	0.0000e+00	0.0000e+00
3.4975e+03	2.0473e+00	1.1723e+00	0.0000e+00	0.0000e+00
3.4976e+03	2.0474e+00	1.1719e+00	0.0000e+00	0.0000e+00
3.4977e+03	2.0481e+00	1.1715e+00	0.0000e+00	0.0000e+00
3.4978e+03	2.0491e+00	1.1712e+00	0.0000e+00	0.0000e+00
3.4979e+03	2.0513e+00	1.1707e+00	0.0000e+00	0.0000e+00
3.4980e+03	2.0530e+00	1.1703e+00	0.0000e+00	0.0000e+00
3.4981e+03	2.0549e+00	1.1699e+00	0.0000e+00	0.0000e+00
3.4982e+03	2.0567e+00	1.1695e+00	0.0000e+00	0.0000e+00
3.4983e+03	2.0583e+00	1.1692e+00	0.0000e+00	0.0000e+00
3.4984e+03	2.0595e+00	1.1688e+00	0.0000e+00	0.0000e+00
3.4985e+03	2.0610e+00	1.1686e+00	0.0000e+00	0.0000e+00
3.4986e+03	2.0633e+00	1.1682e+00	0.0000e+00	0.0000e+00
3.4987e+03	2.0660e+00	1.1677e+00	0.0000e+00	0.0000e+00
3.4988e+03	2.0683e+00	1.1673e+00	0.0000e+00	0.0000e+00
3.4989e+03	2.0707e+00	1.1672e+00	0.0000e+00	0.0000e+00
3.4990e+03	2.0729e+00	1.1671e+00	0.0000e+00	0.0000e+00
3.4991e+03	2.0749e+00	1.1672e+00	0.0000e+00	0.0000e+00
3.4992e+03	2.0768e+00	1.1671e+00	0.0000e+00	0.0000e+00
3.4993e+03	2.0783e+00	1.1671e+00	0.0000e+00	0.0000e+00
3.4994e+03	2.0802e+00	1.1671e+00	0.0000e+00	0.0000e+00
3.4995e+03	2.0826e+00	1.1674e+00	0.0000e+00	0.0000e+00
3.4996e+03	2.0847e+00	1.1676e+00	0.0000e+00	0.0000e+00
3.4997e+03	2.0881e+00	1.1678e+00	0.0000e+00	0.0000e+00
3.4998e+03	2.0899e+00	1.1681e+00	0.0000e+00	0.0000e+00
3.4999e+03	2.0914e+00	1.1685e+00	0.0000e+00	0.0000e+00
3.5000e+03	2.0928e+00	1.1689e+00	0.0000e+00	0.0000e+00
3.5001e+03	2.0946e+00	1.1693e+00	0.0000e+00	0.0000e+00
3.5002e+03	2.0958e+00	1.1696e+00	0.0000e+00	0.0000e+00
3.5003e+03	2.0975e+00	1.1699e+00	0.0000e+00	0.0000e+00
3.5004e+03	2.0988e+00	1.1701e+00	0.0000e+00	0.0000e+00
3.5005e+03	2.0997e+00	1.1705e+00	0.0000e+00	0.0000e+00
3.5006e+03	2.1005e+00	1.1709e+00	0.0000e+00	0.0000e+00
