Timestamp	workload	arousal	Marker
607719.569	1.782	1.563	0.000
607719.763	1.783	1.562	0.000
607719.999	1.787	1.562	0.000
607720.005	1.789	1.561	0.000
607720.203	1.789	1.561	0.000
607720.424	1.789	1.560	0.000
607720.661	1.791	1.560	0.000
607720.879	1.791	1.559	0.000
607721.101	1.791	1.559	0.000
607721.342	1.795	1.558	0.000
607721.541	1.797	1.558	0.000
607721.764	1.797	1.557	0.000
607721.769	1.802	1.557	0.000
607722.003	1.804	1.557	0.000
607722.218	1.808	1.557	0.000
607722.440	1.811	1.556	0.000
607722.675	1.815	1.556	0.000
607722.895	1.817	1.555	0.000
607723.123	1.819	1.555	0.000
607723.351	1.821	1.554	0.000
607723.586	1.824	1.554	0.000
607723.792	1.829	1.553	0.000
